musician,musicianLabel,genderLabel,cityLabel,fatherLabel,motherLabel,partner,genreLabel,ethnicityLabel,religionLabel,activityStart,twitterNameLabel,geniusNameLabel,recordLabelLabel
http://www.wikidata.org/entity/Q11617,Aaliyah,female,Brooklyn,,,R. Kelly,rhythm and blues,African Americans,Catholicism,1991-01-01T00:00:00Z,AaliyahHaughton,Aaliyah,Virgin Records
http://www.wikidata.org/entity/Q11930,Kevin Costner,male,Lynwood,,,Christine Baumgartner,country music,,Baptists,1974-01-01T00:00:00Z,,,Show Dog-Universal Music
http://www.wikidata.org/entity/Q5104,Miranda Cosgrove,female,Los Angeles,,,,pop music,,,2001-01-01T00:00:00Z,MirandaBuzz,Miranda-cosgrove,Epic
http://www.wikidata.org/entity/Q4070,Kim Carnes,female,Pasadena,,,,pop rock,,,1967-01-01T00:00:00Z,,,A&M Records
http://www.wikidata.org/entity/Q4271,Mark Hoppus,male,Ridgecrest,,,,alternative rock,,,1988-01-01T00:00:00Z,MarkHoppus,,BMG Rights Management
http://www.wikidata.org/entity/Q4473,Jennette McCurdy,female,Long Beach,,,,pop music,,,2000-01-01T00:00:00Z,jennettemccurdy,,Capitol Records
http://www.wikidata.org/entity/Q5950,James Brown,male,Barnwell,,,,soul music,African Americans,,1954-01-01T00:00:00Z,,James-brown,Federal
http://www.wikidata.org/entity/Q2274,Chet Baker,male,Yale,,,,jazz,,,1949-01-01T00:00:00Z,,Chet-baker,Columbia Records
http://www.wikidata.org/entity/Q4350,Melissa Fahn,female,New York City,,,Joel Alpers,,,,,melissafahn,,
http://www.wikidata.org/entity/Q5969,Eddie Cochran,male,Albert Lea,,,Sharon Sheeley,country music,,,1952-01-01T00:00:00Z,,Eddie-cochran,Liberty
http://www.wikidata.org/entity/Q4039,Art Garfunkel,male,Forest Hills,,,,rock music,,,1956-01-01T00:00:00Z,,,Columbia Records
http://www.wikidata.org/entity/Q8876,David Cicero,male,Greenport,,,,synth-pop,,,1988-01-01T00:00:00Z,,David-cicero,Spaghetti Records
http://www.wikidata.org/entity/Q11885,Axl Rose,male,Lafayette,,,Erin Everly,heavy metal,,,1995-01-01T00:00:00Z,axlrose,,Uzi Suicide
http://www.wikidata.org/entity/Q12003,Cher,female,El Centro,,Georgia Holt,Richie Sambora,dance music,Irish people,,1963-01-01T00:00:00Z,cher,Cher,Imperial
http://www.wikidata.org/entity/Q392,Bob Dylan,male,Duluth,,,Joan Baez,country rock,,,1962-01-01T00:00:00Z,bobdylan,Bob-dylan,Asylum Records
http://www.wikidata.org/entity/Q11907,Mark Oliver Everett,male,Virginia,Hugh Everett III,,,rock music,,atheism,1985-01-01T00:00:00Z,,,DreamWorks Records
http://www.wikidata.org/entity/Q2709,Sasha Grey,female,North Highlands,,,,,White people,atheism,,sashagrey,,
http://www.wikidata.org/entity/Q4617,Corbin Bleu,male,Brooklyn,David Reivers,,Sasha Clements,pop music,African Americans,,1996-01-01T00:00:00Z,corbinbleu,Corbin-bleu,Walt Disney Records
http://www.wikidata.org/entity/Q36301,Anne Hathaway,female,New York City,,,Adam Shulman,,,,1999-01-01T00:00:00Z,,Anne-hathaway,
http://www.wikidata.org/entity/Q54858,Savannah Outen,female,Hillsboro,,,,pop music,,,2007-01-01T00:00:00Z,therealsavannah,Savannah-outen,
http://www.wikidata.org/entity/Q46080,Victoria Jackson,female,Miami,,,,,,,1982-01-01T00:00:00Z,VictoriaJackson,,
http://www.wikidata.org/entity/Q120533,LeAnn Rimes,female,Jackson,,,Eddie Cibrian,pop music,,,1991-01-01T00:00:00Z,leannrimes,,Curb Records
http://www.wikidata.org/entity/Q44707,Fred Durst,male,Jacksonville,,,,rap metal,,,1993-01-01T00:00:00Z,FredDurst,,Shrapnel Records
http://www.wikidata.org/entity/Q15079,Louis C.K.,male,Tecámac Municipality,,,Alix Bailey,,,,,louisck,,
http://www.wikidata.org/entity/Q49847,Ray William Johnson,male,Oklahoma City,,,,,,,2007-01-01T00:00:00Z,RayWJ,Ray-william-johnson,
http://www.wikidata.org/entity/Q45001,Blind Lemon Jefferson,male,Coutchman,,,,blues,African Americans,,1900-01-01T00:00:00Z,,Blind-lemon-jefferson,Paramount
http://www.wikidata.org/entity/Q19201,Mike Shinoda,male,Panorama City,,,,alternative rock,German Americans,,1994-01-01T00:00:00Z,m_shinoda,Mike-shinoda,Machine Shop Records
http://www.wikidata.org/entity/Q24632,John Barrowman,male,"Mount Vernon\, Glasgow",,,Scott Gill,musical,Scottish American,,1985-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q49319,Aloe Blacc,male,Newport Beach,,,,soul music,,,1995-01-01T00:00:00Z,aloeblacc,Aloe-blacc,Stones Throw Records
http://www.wikidata.org/entity/Q26539,Lisa Zane,female,Chicago,,,,,,,1984-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q42180,Israel Kamakawiwoʻole,male,Honolulu,,,,contemporary folk music,,,1976-01-01T00:00:00Z,,,Mountain Apple Company
http://www.wikidata.org/entity/Q34389,Whitney Houston,female,Newark,,Cissy Houston,Bobby Brown,rhythm and blues,African Americans,Baptists,1977-01-01T00:00:00Z,,Whitney-houston,Arista
http://www.wikidata.org/entity/Q49735,Johnny Nash,male,Houston,,,,reggae,African Americans,,1956-01-01T00:00:00Z,,,Epic
http://www.wikidata.org/entity/Q117139,Wiz Khalifa,male,Minot,,,Amber Rose,pop music,African Americans,Catholicism,2005-01-01T00:00:00Z,wizkhalifa,,Warner Bros. Records
http://www.wikidata.org/entity/Q41594,Christina Aguilera,female,Staten Island,Fausto Xavier Aguilera,,Jordan Bratman,contemporary R&B,,,1991-01-01T00:00:00Z,xtina,Christina-aguilera,RCA Records
http://www.wikidata.org/entity/Q40422,Keak da Sneak,male,Oakland,,,,hyphy,,,1992-01-01T00:00:00Z,KeakDaSneak,,Entertainment One Music
http://www.wikidata.org/entity/Q30896,Lalaine Vergara-Paras,female,Burbank,,,,pop music,,,1999-01-01T00:00:00Z,,,Reprise Records
http://www.wikidata.org/entity/Q47899,Paris Hilton,female,New York City,Richard Hilton,Kathy Hilton,Jason Shaw,pop music,,,1997-01-01T00:00:00Z,ParisHilton,Paris-hilton,Warner Bros. Records
http://www.wikidata.org/entity/Q20178,Joe Pesci,male,Newark,,,,drama,,,1961-01-01T00:00:00Z,,Joe-pesci,
http://www.wikidata.org/entity/Q14538,Sharon Van Etten,female,Belleville,,,,pop music,,,2007-01-01T00:00:00Z,sharonvanetten,Sharon-van-etten,Jagjaguwar
http://www.wikidata.org/entity/Q39574,Candice King,female,Houston,,,Joe King,pop music,,,2006-01-01T00:00:00Z,CandiceAccola,,
http://www.wikidata.org/entity/Q49575,Dizzy Gillespie,male,Cheraw,,,,jazz,African Americans,Bahá'í Faith,1935-01-01T00:00:00Z,,Dizzy-gillespie,Savoy Records
http://www.wikidata.org/entity/Q44855,Jackie Jackson,male,Gary,Joe Jackson,Katherine Jackson,Paula Abdul,rhythm and blues,African Americans,,1962-01-01T00:00:00Z,,,Epic
http://www.wikidata.org/entity/Q26625,Marc Anthony,male,New York City,,,Jennifer Lopez,Latin American music,,,1988-01-01T00:00:00Z,MarcAnthony,,RMM Records & Video
http://www.wikidata.org/entity/Q24064,Amanda Somerville,female,Flushing,,,,pop music,,,1997-01-01T00:00:00Z,amsomerville,,
http://www.wikidata.org/entity/Q44414,Trey Parker,male,Conifer,,,,,,,1989-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q38875,Mos Def,male,Brooklyn,,,,hip hop music,,Islam,1994-01-01T00:00:00Z,MosDefOfficial,,Downtown Records
http://www.wikidata.org/entity/Q44721,Wes Borland,male,Richmond,,,,nu metal,,,1994-01-01T00:00:00Z,wesborland,,independent record label
http://www.wikidata.org/entity/Q37150,Lana Del Rey,female,New York City,,,,baroque pop,,,2005-01-01T00:00:00Z,LanaDelRey,Lana-del-rey,Interscope Records
http://www.wikidata.org/entity/Q26695,Lionel Richie,male,Tuskegee,,,Brenda Harvey-Richie,soul music,,,1968-01-01T00:00:00Z,lionelrichie,,Motown
http://www.wikidata.org/entity/Q38150,David McWane,male,Beverly,,,,ska,,,1995-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q26058,James Maslow,male,New York City,,,,pop music,,,2008-01-01T00:00:00Z,jamesmaslow,,Nick Records
http://www.wikidata.org/entity/Q45362,Bijou Phillips,female,Greenwich,John Phillips,Geneviève Waïte,Danny Masterson,pop music,,Scientology,1994-01-01T00:00:00Z,,Bijou-phillips,
http://www.wikidata.org/entity/Q35912,Emmy Rossum,female,New York City,,,Sam Esmail,pop music,,,1993-01-01T00:00:00Z,emmyrossum,,Warner Bros. Records
http://www.wikidata.org/entity/Q39224,Hoodie Allen,male,Plainview,,,,hip hop music,,,,HoodieAllen,,
http://www.wikidata.org/entity/Q44833,JJ Cale,male,Oklahoma City,,,Christine Lakeland,folk music,,,1958-01-01T00:00:00Z,,,Shelter Records
http://www.wikidata.org/entity/Q55497,Jamie Lynn Spears,female,McComb,,Lynne Spears,,country pop,,Christianity,2002-01-01T00:00:00Z,jamielynnspears,,
http://www.wikidata.org/entity/Q36290,Diana Ross,female,Detroit,,,Berry Gordy,jazz,African Americans,,1959-01-01T00:00:00Z,iamdianaross,,RCA
http://www.wikidata.org/entity/Q44570,John Lee Hooker,male,Clarksdale,,,,blues,African Americans,,1942-01-01T00:00:00Z,,,Charly Records
http://www.wikidata.org/entity/Q46677,Melissa Benoist,female,Littleton,,,Chris Wood,pop music,,,2008-01-01T00:00:00Z,MelissaBenoist,Melissa-benoist,
http://www.wikidata.org/entity/Q41342,Mary Tyler Moore,female,Brooklyn,,,Grant Tinker,,,Catholicism,1958-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q18804,Rebecca Black,female,Irvine,,,,pop music,,,2010-01-01T00:00:00Z,MsRebeccaBlack,Rebecca-black,ARK Music Factory
http://www.wikidata.org/entity/Q44903,Lindsay Lohan,female,The Bronx,Michael Lohan,Dina Lohan,,dance music,,,1989-01-01T00:00:00Z,lindsaylohan,Lindsay-lohan,Casablanca Records
http://www.wikidata.org/entity/Q50608,Trent Lott,male,Grenada,,,,,,Southern Baptist Convention,,,,
http://www.wikidata.org/entity/Q44301,Jim Morrison,male,Melbourne,George Stephen Morrison,,Pamela Courson,poetry,,,1971-01-01T00:00:00Z,,Jim-morrison,Elektra
http://www.wikidata.org/entity/Q48187,Eric Clapton,male,Ripley,,,Lory Del Santo,blues,,,1962-01-01T00:00:00Z,EricClapton,,Warner Bros. Records
http://www.wikidata.org/entity/Q19526,Maya Angelou,female,St. Louis,,,,,African Americans,,1969-01-01T00:00:00Z,DrMayaAngelou,,
http://www.wikidata.org/entity/Q25652,Martha Reeves,female,Eufaula,,,,soul music,African Americans,,1957-01-01T00:00:00Z,,,Motown
http://www.wikidata.org/entity/Q18989,Ryan Newman,female,Manhattan Beach,,,,,,,2006-01-01T00:00:00Z,ryrynewman,,
http://www.wikidata.org/entity/Q14045,Moby,male,Harlem,,,,house music,,Christianity,1978-01-01T00:00:00Z,thelittleidiot,Moby,Mute Records
http://www.wikidata.org/entity/Q37459,Nicole Kidman,female,Honolulu,Antony Kidman,Janelle Kidman,Keith Urban,,,,1983-01-01T00:00:00Z,NicoleKidman,Nicole-kidman,
http://www.wikidata.org/entity/Q15935,Kanye West,male,Atlanta,Ray West,Donda West,Kim Kardashian,hip hop music,African Americans,Catholicism,1996-01-01T00:00:00Z,kanyewest,Kanye-west,Def Jam Recordings
http://www.wikidata.org/entity/Q39983,Anthony Rapp,male,Chicago,,,,,,,,albinokid,,
http://www.wikidata.org/entity/Q43416,Keanu Reeves,male,Beirut,,,Alexandra Grant,alternative rock,,,1984-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q49075,Louis Farrakhan,male,The Bronx,,,Khadijah Farrakhan,,African Americans,Nation of Islam,,,,
http://www.wikidata.org/entity/Q54868,Noah Cyrus,female,Nashville,Billy Ray Cyrus,Tish Cyrus,,pop music,,,2002-01-01T00:00:00Z,noahcyrus,Noah-cyrus,Syco Music
http://www.wikidata.org/entity/Q18593,Claudio Sanchez,male,Suffern,,,,alternative rock,,,1995-01-01T00:00:00Z,,,Columbia Records
http://www.wikidata.org/entity/Q14441,Liza Minnelli,female,Hollywood,Vincente Minnelli,Judy Garland,Peter Allen,jazz,,Episcopal Church,1949-01-01T00:00:00Z,,Liza-minnelli,Capitol Records
http://www.wikidata.org/entity/Q14541,Terry Callier,male,Chicago,,,,jazz,,,1962-01-01T00:00:00Z,,,Cadet Records
http://www.wikidata.org/entity/Q40638,Blake Jenner,male,Miami,,,,,,,2010-01-01T00:00:00Z,blake_jenner,Blake-jenner,
http://www.wikidata.org/entity/Q34584,Anastacia,female,Chicago,,,,contemporary R&B,,,1997-01-01T00:00:00Z,AnastaciaMusic,Anastacia,Epic
http://www.wikidata.org/entity/Q121507,Alicia Keys,female,Harlem,,,Swizz Beatz,neo soul,African Americans,,1996-01-01T00:00:00Z,aliciakeys,Alicia-keys,Arista
http://www.wikidata.org/entity/Q42025,Q-Tip,male,Harlem,,,,hip hop music,,Islam,1985-01-01T00:00:00Z,qtiptheabstract,Q-tip,Epic
http://www.wikidata.org/entity/Q26378,Ariel Winter,female,Fairfax,,,,,,,2002-01-01T00:00:00Z,arielwinter1,,
http://www.wikidata.org/entity/Q27326,Caroline Sunshine,female,Atlanta,,,,pop music,,,,CSunshine,,Hollywood Records
http://www.wikidata.org/entity/Q120260,Martin O'Malley,male,"Washington\, D.C.",Thomas Martin O'Malley,Barbara  O'Malley,Katie O'Malley,Celtic music,,Catholicism,1988-01-01T00:00:00Z,MartinOMalley,,
http://www.wikidata.org/entity/Q34436,Scarlett Johansson,female,Manhattan,,,Romain Dauriac,pop music,Danish American,,1994-01-01T00:00:00Z,,,Atco Records
http://www.wikidata.org/entity/Q44144,Chris Jericho,male,New York City,Ted Irvine,,,rock music,,,1999-01-01T00:00:00Z,IAmJericho,Chris-jericho,Megaforce Records
http://www.wikidata.org/entity/Q53549,N.O.R.E.,male,Queens,,,,hip hop music,African Americans,,1995-01-01T00:00:00Z,noreaga,,Penalty Recordings
http://www.wikidata.org/entity/Q44909,Candye Kane,female,Ventura,,,,blues,,,1986-01-01T00:00:00Z,CandyeKaneBand,,
http://www.wikidata.org/entity/Q23543,Selena,female,Lake Jackson,"Abraham Quintanilla, Jr.",,Chris Pérez,rhythm and blues,chicano,Jehovah's Witnesses,1982-01-01T00:00:00Z,SelenaLaLeyenda,,Capitol Records
http://www.wikidata.org/entity/Q37944,Masiela Lusha,female,Tirana,,,,,Albanian American,,1998-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q30570,David Draiman,male,Brooklyn,,,Lena Yada,alternative metal,,,1996-01-01T00:00:00Z,,David-draiman,Giant Records
http://www.wikidata.org/entity/Q49888,Solomon Burke,male,Philadelphia,,,,soul music,African Americans,,1955-01-01T00:00:00Z,,Solomon-burke,Bell Records
http://www.wikidata.org/entity/Q122881,Kim Wilson,male,Detroit,,,,blues,,,,,,Severn Records
http://www.wikidata.org/entity/Q23880,Lila Downs,female,Oaxaca,,,,contemporary folk music,,,1992-01-01T00:00:00Z,liladowns,,Sony Music
http://www.wikidata.org/entity/Q12827,Beth Ditto,female,Searcy,,,,rock music,,atheism,,bethditto,Beth-ditto,Kill Rock Stars
http://www.wikidata.org/entity/Q39639,Brad Paisley,male,Glen Dale,,,Kimberly Williams-Paisley,country music,,,1998-01-01T00:00:00Z,bradpaisley,Brad-paisley,Arista Nashville
http://www.wikidata.org/entity/Q122020,Hilary Duff,female,Houston,,,Mike Comrie,pop rock,,,1993-01-01T00:00:00Z,HilaryDuff,Hilary-duff,Walt Disney Records
http://www.wikidata.org/entity/Q32849,Akon,male,St. Louis,,,,contemporary R&B,,Islam,2003-01-01T00:00:00Z,Akon,,Republic Records
http://www.wikidata.org/entity/Q34460,Gwyneth Paltrow,female,Los Angeles,Bruce Paltrow,Blythe Danner,Luke Wilson,,,,1989-01-01T00:00:00Z,GwynethPaltrow,Gwyneth-paltrow,
http://www.wikidata.org/entity/Q14313,Pharrell Williams,male,Virginia Beach,,,Helen Lasichanh,rhythm and blues,African Americans,,1994-01-01T00:00:00Z,Pharrell,Pharrell-williams,I Am Other
http://www.wikidata.org/entity/Q37355,John Michael Talbot,male,Oklahoma City,,,,contemporary Christian music,,Catholic Church,1960-01-01T00:00:00Z,,John-michael-talbot,Sparrow Records
http://www.wikidata.org/entity/Q26869,Major Harris,male,Richmond,,,,rhythm and blues,,,2011-01-01T00:00:00Z,,Major-harris,Atlantic Records
http://www.wikidata.org/entity/Q40912,Frank Sinatra,male,Hoboken,Anthony Martin Sinatra,Dolly Sinatra,Ava Gardner,jazz,Italian American,Catholic Church,1935-01-01T00:00:00Z,,,Warner Bros. Records
http://www.wikidata.org/entity/Q26294,Logan Henderson,male,North Richland Hills,,,,pop rock,,,2008-01-01T00:00:00Z,1loganhenderson,,Columbia Records
http://www.wikidata.org/entity/Q19004,Skrillex,male,Los Angeles,,,,electronic dance music,,,2004-01-01T00:00:00Z,Skrillex,Skrillex,Big Beat Records
http://www.wikidata.org/entity/Q19417,James Euringer,male,New York City,,,Chantal Claret,alternative rock,,,,,,
http://www.wikidata.org/entity/Q26053,Carlos Pena Jr,male,Columbia,,,Alexa Vega,pop music,,Christianity,2009-01-01T00:00:00Z,TheCarlosPena,,Columbia Records
http://www.wikidata.org/entity/Q40069,Sara Ramirez,female,"La Chingada\, Veracruz",,,,,,,,sararamirez,,
http://www.wikidata.org/entity/Q29328,Brie Larson,female,Sacramento,,,Alex Greenwald,pop music,,,1998-01-01T00:00:00Z,brielarson,Brie-larson,Casablanca Records
http://www.wikidata.org/entity/Q55449,Tay Zonday,male,Minneapolis,,,,,African Americans,,2007-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q48774,Gerry Goffin,male,Brooklyn,,,Carole King,pop music,American Jews,,,,,Manticore
http://www.wikidata.org/entity/Q47159,Nate Dogg,male,Clarksdale,,,,rhythm and blues,African Americans,,1992-01-01T00:00:00Z,,Nate-dogg,Death Row Records
http://www.wikidata.org/entity/Q52440,LL Cool J,male,Queens,,,,New school hip hop,African Americans,,1984-01-01T00:00:00Z,llcoolj,Ll-cool-j,Def Jam Recordings
http://www.wikidata.org/entity/Q24356,Taryll Jackson,male,Los Angeles,Tito Jackson,,,pop music,,,,,,Epic
http://www.wikidata.org/entity/Q44857,John Legend,male,Springfield,,,Chrissy Teigen,rhythm and blues,African Americans,,2000-01-01T00:00:00Z,johnlegend,John-legend,Sony Music
http://www.wikidata.org/entity/Q14078,Hank Mizell,male,Daytona Beach,,,,rock and roll,,,1956-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q53714,Chord Overstreet,male,Nashville,Paul Overstreet,,,pop music,,,2009-01-01T00:00:00Z,chordoverstreet,Chord-overstreet,Safehouse Records
http://www.wikidata.org/entity/Q44780,Howlin' Wolf,male,United States Military Academy,,,,blues,African Americans,,1976-01-01T00:00:00Z,,,Chess Records
http://www.wikidata.org/entity/Q21087,DJ Laz,male,Miami,,,,hip hop music,,,1990-01-01T00:00:00Z,therealdjlaz,,TVT Records
http://www.wikidata.org/entity/Q50825,Stan Ridgway,male,Barstow,,,,new wave,,,1977-01-01T00:00:00Z,Stan_Ridgway,,I.R.S. Records
http://www.wikidata.org/entity/Q31013,Patti LaBelle,female,Philadelphia,,,,rhythm and blues,African Americans,,1958-01-01T00:00:00Z,mspattipatti,Patti-labelle,Epic
http://www.wikidata.org/entity/Q123684,Barry De Vorzon,male,New York City,,,,,,,,,,Columbia Records
http://www.wikidata.org/entity/Q54861,Anna Margaret,female,Lecompte,,,,pop music,,,2009-01-01T00:00:00Z,talktoanna,Anna-margaret,Walt Disney Records
http://www.wikidata.org/entity/Q121956,Bill Kelliher,male,Atlanta,,,,heavy metal,,,1995-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q52447,RZA,male,Brownsville,,,,hip hop music,African Americans,,1989-01-01T00:00:00Z,rza,,Epic
http://www.wikidata.org/entity/Q43203,Clint Eastwood,male,San Francisco,,,Sondra Locke,country music,,,1955-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q49001,Whoopi Goldberg,female,Manhattan,,,Alvin Martin,,African Americans,,1981-01-01T00:00:00Z,WhoopiGoldberg,Whoopi-goldberg,MCA Records
http://www.wikidata.org/entity/Q43432,Justin Timberlake,male,Memphis,,,Cameron Diaz,rhythm and blues,,,1997-01-01T00:00:00Z,jtimberlake,Justin-timberlake,Tennman Records
http://www.wikidata.org/entity/Q49004,Patrick Swayze,male,Houston,,Patsy Swayze,Lisa Niemi,,,Catholic Church,1979-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q16759,Kaley Cuoco,female,Camarillo,,,Karl Cook,,,,1992-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q28755,Matthew Broderick,male,New York City,James Broderick,Patricia Broderick,Sarah Jessica Parker,,,,1981-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q16472,Robert Mitchum,male,Bridgeport,,,,calypso music,,,1942-01-01T00:00:00Z,,Robert-mitchum,Capitol Records
